Word,Frequency,Number of Syllables,Number of Characters,Number of Syllables and Diacritics,Complex
có_giá,0,2,5,7,0
vượt_quá,0,2,7,11,0
vượt_qua,0,2,7,10,0
hệ_số,0,2,4,8,0
tạo_ra,0,2,5,6,0
dự_thảo,0,2,6,9,0
trong_khoảng,0,2,11,12,0
vụ_án,0,2,4,6,0
bình_quân,0,2,8,10,0
phẫu_thuật,0,2,9,13,0
tìm_ra,0,2,5,6,0
người_làm,0,2,8,12,0
tổng_công_ty,0,3,10,13,0
khác_nhau,0,2,8,9,0
tìm_thấy,0,2,7,10,0
sóng_mang,0,2,8,9,0
bán_kết,0,2,6,9,0
khởi_tố,0,2,6,10,0
điện_áp,0,2,6,9,0
chịu_tải,0,2,7,9,0
máy_thu,0,2,6,7,0
truy_tố,0,2,6,8,0
dịch_cúm,0,2,7,9,0
trong_khi,0,2,8,8,0
đạt_được,0,2,7,11,0
linh_kiện,0,2,8,10,0
giống_như,0,2,8,11,0
đặt_ra,0,2,5,7,0
từ_đó,0,2,4,7,0
hàng_chục,0,2,8,10,0
tiết_diện,0,2,8,12,0
thứ_trưởng,0,2,9,14,0
diễn_ra,0,2,6,8,0
cho_đến,0,2,6,8,0
trung_vệ,0,2,7,9,0
trái_phiếu,0,2,9,12,0
con_trai,0,2,7,7,0
điện_trở,0,2,7,11,0
thứ_hai,0,2,6,8,0
sỹ,0,1,2,3,0
Ô,0,1,1,2,0
niềm_tin,0,2,7,9,0
hàng_trăm,0,2,8,10,0
con_gái,0,2,6,7,0
chiều_dài,0,2,8,11,0
khi_nào,0,2,6,7,0
bùi,0,1,3,4,0
có_nghĩa,0,2,7,9,0
chi_cục,0,2,6,7,0
chiều_cao,0,2,8,10,0
bài_hát,0,2,6,8,0
thứ_tư,0,2,5,8,0
tiền_đạo,0,2,7,10,0
tỷ_số,0,2,4,7,0
chân_đế,0,2,6,9,0
thống,0,1,5,7,0
da_cam,0,2,5,5,0
Xe,0,1,2,2,0
thuộc_về,0,2,7,11,0
vòng_loại,0,2,8,10,0
tuỳ_theo,0,2,7,8,0
hôm_sau,0,2,6,7,0
có_tiếng,0,2,7,10,0
toà_nhà,0,2,6,8,0
bắt_đầu_từ,0,3,8,14,0
trình_duyệt,0,2,10,13,0
pháp_đình,0,2,8,10,0
lắp_đặt,0,2,6,10,0
sai_phạm,0,2,7,8,0
trong_vòng,0,2,9,10,0
buổi_sáng,0,2,8,11,0
thuê_bao,0,2,7,8,0
tuyển_thủ,0,2,8,11,0
độ_cao,0,2,5,7,0
qui_hoạch,0,2,8,9,0
huyết_áp,0,2,7,10,0
telex,0,1,5,5,0
công_chứng,0,2,9,12,0
gòn,0,1,3,4,0
cốt_thép,0,2,7,10,0
hiện_có,0,2,6,9,0
thanh_ghi,0,2,8,8,0
liên_doanh,0,2,9,10,0
nhà_thầu,0,2,7,10,0
người_ở,0,2,6,11,0
từ_khi,0,2,5,7,0
diễn_kịch,0,2,8,11,0
nguyên_chủ,0,2,9,11,0
ngày_sau,0,2,7,8,0
cho_là,0,2,5,6,0
người_sử_dụng,0,3,11,17,0
mặt_hàng,0,2,7,10,0
gì_mà,0,2,4,6,0
vi_mạch,1,2,6,7,0
lãi_suất,1,2,7,10,0
hải_quan,1,2,7,8,0
hậu_vệ,1,2,5,9,0
hàng_không,1,2,9,11,0
cổ_phần,1,2,6,10,0
euro,1,1,4,4,0
thi_công,1,2,7,8,0
nụ_cười,1,2,6,10,0
bảo_mật,1,2,6,9,0
doanh_thu,1,2,8,8,0
hạn_ngạch,1,2,8,10,0
bài_thơ,1,2,6,8,0
xây_lắp,1,2,6,9,0
đại_lý,1,2,5,7,0
kỹ_sư,1,2,4,6,0
trưởng_phòng,1,2,11,15,0
tải_trọng,1,2,8,10,0
buôn_lậu,1,2,7,10,0
cử_tri,1,2,5,7,0
thuỷ_sản,1,2,7,9,0
tổng_cục,1,2,7,10,0
tuyển_sinh,1,2,9,11,0
viễn_thông,1,2,9,12,0
trị_giá,1,2,6,8,0
bản_vẽ,1,2,5,7,0
vi_xử_lý,1,3,6,9,0
phòng_ngự,1,2,8,11,0
ghi_bàn,1,2,6,7,0
tăng_giá,1,2,7,9,0
thạnh,1,1,5,6,0
bị_can,1,2,5,6,0
bán_đấu_giá,1,3,9,13,0
kiều,1,1,4,6,0
khiển,2,1,5,7,0
thuỳ,2,1,4,5,0
dòng_điện,2,2,8,11,0
đầu_vào,2,2,6,9,0
liên_đoàn,2,2,8,10,0
chuyển_nhượng,2,2,12,17,0
cúm,2,1,3,4,0
trái_phép,2,2,8,10,0
nhuận,2,1,5,7,0
tổng_giám_đốc,2,3,11,16,0
điện_thoại_di_động,2,4,15,20,0
tập_huấn,2,2,7,11,0
điều_chế,2,2,7,11,0
thủ_môn,2,2,6,8,0
hoa_hậu,2,2,6,8,0
bai,2,1,3,3,0
mu,2,1,2,2,0
cơ_quan_chức_năng,2,4,14,18,0
khuếch_đại,2,2,9,12,0
gia_cầm,2,2,6,8,0
đại_sư,2,2,5,7,0
thầu,2,1,4,6,0
bảo_hiểm,2,2,7,10,0
giao_dịch,3,2,8,9,0
đặng,3,1,4,6,0
tín_dụng,3,2,7,9,0
hàm_lượng,3,2,8,12,0
người_ta,3,2,7,10,0
chẩn_đoán,3,2,8,11,0
phòng_thí_nghiệm,3,3,14,18,0
bầu_cử,3,2,5,9,0
cáp,3,1,3,4,0
vụ_việc,3,2,6,9,0
vitamin,3,1,7,7,0
tổng_thư_ký,3,3,9,13,0
phần_mềm,3,2,7,11,0
huỳnh,3,1,5,6,0
niềm_vui,3,2,7,9,0
phụ_lục,3,2,6,8,0
tiến_độ,3,2,6,10,0
khai_trương,3,2,10,12,0
xét_nghiệm,3,2,9,12,0
ngân_sách,3,2,8,10,0
quyến,3,1,5,7,0
bộ_nhớ,3,2,5,9,0
thông_số,3,2,7,10,0
chi_nhánh,3,2,8,9,0
hong,4,1,4,4,0
ưu_đãi,4,2,5,7,0
doanh,4,1,5,5,0
kiến_nghị,4,2,8,11,0
phiếu,4,1,5,7,0
đội_hình,4,2,7,10,0
lắp_ráp,4,2,6,9,0
vữa,4,1,3,5,0
oanh,4,1,4,4,0
vợt,4,1,3,5,0
kỷ_lục,4,2,5,7,0
nghiệm_thu,4,2,9,11,0
phê_duyệt,4,2,8,11,0
tiền_vệ,4,2,6,10,0
tư_vấn,4,2,5,8,0
quốc_phòng,4,2,9,12,0
đội_tuyển,4,2,8,12,0
cẩu,4,1,3,5,0
giấy_phép,4,2,8,11,0
chỉ_tiêu,4,2,7,9,0
cm,4,1,2,2,0
công_suất,4,2,8,11,0
chứng_nhận,4,2,9,13,0
nhiệt_độ,4,2,7,11,0
bơm,4,1,3,4,0
cước,4,1,4,7,0
video,4,1,5,5,0
giá_cả,4,2,5,7,0
cửa_sông,5,2,7,10,0
áp_giải,5,2,6,8,0
trảy,5,1,4,5,0
truy_cập,5,2,7,9,0
siêu_thị,5,2,7,9,0
thứ_ba,5,2,5,7,0
xếp_hạng,5,2,7,10,0
kg,5,1,2,2,0
nhập_khẩu,5,2,8,12,0
học_bổng,5,2,7,10,0
tiếp_thị,5,2,7,10,0
phong_độ,5,2,7,9,0
nhãn_hiệu,5,2,8,11,0
tầm_xuân,5,2,7,10,0
đình_chỉ,5,2,7,9,0
dan,5,1,3,3,0
thì_phải,5,2,7,9,0
khoán,5,1,5,6,0
thì_có,5,2,5,7,0
khiếu_nại,5,2,8,11,0
đăng_ký,6,2,6,8,0
đàm_phán,6,2,7,9,0
huyết,6,1,5,7,0
ôtô,6,1,3,5,0
tin_học,6,2,6,7,0
cẩm,6,1,3,5,0
rác_thải,6,2,7,9,0
tuyển_dụng,6,2,9,12,0
quy_chế,6,2,6,8,0
quy_hoạch,6,2,8,9,0
vận_chuyển,6,2,9,13,0
huynh,6,1,5,5,0
như_không,6,2,8,10,0
xi_măng,6,2,6,7,0
thi_đấu,6,2,6,8,0
khê,6,1,3,4,0
đường_kính,6,2,9,13,0
hiện_trường,6,2,10,15,0
chế_biến,6,2,7,11,0
vệ_tinh,6,2,6,8,0
hiển_thị,6,2,7,10,0
nghị_định,6,2,8,10,0
tỷ,6,1,2,3,0
kiểm,7,1,4,6,0
thuỵ,7,1,4,5,0
bích,7,1,4,5,0
muội,7,1,4,6,0
miễn_phí,7,2,7,10,0
khai_mạc,7,2,7,8,0
chấn,7,1,4,6,0
chung_kết,7,2,8,10,0
thủ_tướng,7,2,8,12,0
gốm,7,1,3,5,0
tham_nhũng,7,2,9,10,0
mỹ_thuật,7,2,7,10,0
pháp_lý,7,2,6,8,0
gọi_là,7,2,5,7,0
làm_chủ,7,2,6,8,0
trụ_sở,7,2,5,8,0
bị_cáo,7,2,5,7,0
dịch_vụ,7,2,6,8,0
sông_cái,7,2,7,9,0
cường_độ,7,2,7,12,0
nhu,7,1,3,3,0
hãng,7,1,4,5,0
ninh,7,1,4,4,0
ca_nhạc,8,2,6,7,0
thương_hiệu,8,2,10,14,0
sài,8,1,3,4,0
nguyên_liệu,8,2,10,13,0
hấp,8,1,3,5,0
tính_năng,8,2,8,10,0
huy_chương,8,2,9,11,0
hội_chợ,8,2,6,10,0
thủ_tục,8,2,6,8,0
thu_hồi,8,2,6,8,0
bê_tông,8,2,6,8,0
xuất_khẩu,9,2,8,12,0
bóng_đá,9,2,6,8,0
xăng,9,1,4,5,0
người_bệnh,9,2,9,14,0
niên,9,1,4,5,0
ma_tuý,9,2,5,6,0
tịch,9,1,4,5,0
đại_sứ,9,2,5,8,0
ca_khúc,9,2,6,7,0
đường_dây,9,2,8,12,0
vận_tải,9,2,6,9,0
cầu_thủ,9,2,6,9,0
bắt_giữ,9,2,6,10,0
thiệt_hại,9,2,8,11,0
hành_khách,9,2,9,11,0
doanh_nghiệp,9,2,11,13,0
dinh_dưỡng,9,2,9,12,0
thị_xã,9,2,5,7,0
lún,9,1,3,4,0
huấn_luyện,9,2,9,13,0
làm_gì,9,2,5,7,0
kinh_phí,9,2,7,8,0
đền_bù,10,2,5,8,0
sút,10,1,3,4,0
hâm_mộ,10,2,5,8,0
đảng_viên,10,2,8,10,0
lậu,10,1,3,5,0
bộ_trưởng,10,2,8,13,0
cải_tiến,10,2,7,10,0
tân,10,1,3,4,0
phụng,10,1,5,6,0
tư_nhân,10,2,6,8,0
phòng_chống,10,2,10,13,0
lạt,10,1,3,4,0
nhiệm,10,1,5,7,0
khuyết_tật,10,2,9,13,0
điều_trị,10,2,7,10,0
phân_phối,10,2,8,11,0
biên_bản,10,2,7,9,0
suất,10,1,4,6,0
quốc_hội,10,2,7,11,0
an_ninh,10,2,6,6,0
giám_sát,11,2,7,9,0
triển_lãm,11,2,8,11,0
kẻ_cướp,11,2,6,10,0
kim_loại,11,2,7,8,0
ngân_hàng,11,2,8,10,0
khách_hàng,11,2,9,11,0
liên_hoan,11,2,8,9,0
lào,11,1,3,4,0
tham_quan,11,2,8,8,0
dưỡng,11,1,5,8,0
tập_luyện,11,2,8,12,0
chưởng,11,1,6,9,0
xe_buýt,12,2,6,7,0
kháng,12,1,5,6,0
bồi_thường,12,2,9,14,0
cửu,12,1,3,5,0
chốt,12,1,4,6,0
bình_định,12,2,8,10,0
luật_sư,12,2,6,9,0
di_tích,12,2,6,7,0
km,12,1,2,2,0
chấp,12,1,4,6,0
công_văn,12,2,7,9,0
xí_nghiệp,12,2,8,11,0
thanh_toán,12,2,9,10,0
tranh_chấp,12,2,9,11,0
tổng_thống,12,2,9,13,0
chỉ_số,12,2,5,8,0
