Word,Frequency,Number of Syllables,Number of Characters,Number of Syllables and Diacritics,Complex
có_nghĩa,0,2,7,9,0
sỹ,0,1,2,3,0
pháp_đình,0,2,8,10,0
hễ,0,1,2,4,0
chợt,0,1,4,6,0
gòn,0,1,3,4,0
niềm_vui,0,2,7,9,0
khuếch_đại,0,2,9,12,0
nguyên_chủ,0,2,9,11,0
TP,0,1,2,2,0
u,0,1,1,1,0
phụ_lục,0,2,6,8,0
bùi,0,1,3,4,0
byte,0,1,4,4,0
e-mail,0,1,6,6,0
hội_chợ,0,2,6,10,0
ổ,0,1,1,3,0
ẩm,0,1,2,4,0
khi_nào,0,2,6,7,0
nọ,0,1,2,3,0
nối_tiếp,0,2,7,11,0
thứ_tư,0,2,5,8,0
tụ,0,1,2,3,0
điện_trở,0,2,7,11,0
tác,0,1,3,4,0
hay_là,0,2,5,6,0
thanh_ghi,0,2,8,8,0
transistor,0,1,10,10,0
kiên,0,1,4,5,0
xuyến,0,1,5,7,0
bộ_nhớ,0,2,5,9,0
cửu,0,1,3,5,0
nụ_cười,0,2,6,10,0
khăn,0,1,4,5,0
tìm_thấy,0,2,7,10,0
chớ,0,1,3,5,0
tuỳ_theo,0,2,7,8,0
bấy_giờ,0,2,6,10,0
rét,0,1,3,4,0
thuộc_về,0,2,7,11,0
mù,0,1,2,3,0
lây,0,1,3,4,0
giặc,0,1,4,6,0
khiển,0,1,5,7,0
gốm,0,1,3,5,0
từ_khi,0,2,5,7,0
khoán,0,1,5,6,0
chốn,0,1,4,6,0
ngày_sau,0,2,7,8,0
vi_xử_lý,0,3,6,9,0
viễn,0,1,4,6,0
tìm_ra,0,2,5,6,0
vở,0,1,2,4,0
lăng,0,1,4,5,0
người_ở,0,2,6,11,0
tầm_xuân,0,2,7,10,0
USD,0,1,3,3,0
người_sử_dụng,0,3,11,17,0
thì_phải,0,2,7,9,0
bài_hát,0,2,6,8,0
linh_kiện,0,2,8,10,0
thứ_hai,0,2,6,8,0
TƯ,0,1,2,3,0
niềm_tin,0,2,7,9,0
vụ_án,0,2,4,6,0
kiều,0,1,4,6,0
khuyết,0,1,6,8,0
văn_học,0,2,6,8,0
lạt,0,1,3,4,0
cúm,0,1,3,4,0
GS,0,1,2,2,0
mỹ_thuật,0,2,7,10,0
trảy,0,1,4,5,0
con_gái,0,2,6,7,0
người_ta,0,2,7,10,0
hiện_có,0,2,6,9,0
tạo_ra,0,2,5,6,0
luôn_luôn,0,2,8,10,0
khoác,0,1,5,6,0
uốn,0,1,3,5,0
mười,0,1,4,7,0
lúa,0,1,3,4,0
múa,0,1,3,4,0
học_bổng,0,2,7,10,0
quyến,0,1,5,7,0
sông_cái,0,2,7,9,0
hàng_chục,0,2,8,10,0
huyết,0,1,5,7,0
độ_cao,0,2,5,7,0
BS,0,1,2,2,0
huyết_áp,0,2,7,10,0
TS,0,1,2,2,0
lệch,0,1,4,6,0
trạng,0,1,5,6,0
anh_chàng,0,2,8,9,0
quách,0,1,5,6,0
dệt,0,1,3,5,0
hấp,0,1,3,5,0
nhà_vua,0,2,6,7,0
có_tiếng,0,2,7,10,0
cẩm,0,1,3,5,0
trong_suốt,0,2,9,11,0
rối,0,1,3,5,0
mụ,0,1,2,3,0
quấn,0,1,4,6,0
hình_như,0,2,7,9,0
bắt_đầu_từ,0,3,8,14,0
trong_khoảng,0,2,11,12,0
sóng_mang,0,2,8,9,0
soạn,0,1,4,5,0
tiết_diện,0,2,8,12,0
ngũ,0,1,3,4,0
run,0,1,3,3,0
kê,0,1,2,3,0
chiều_cao,0,2,8,10,0
chuột,0,1,5,7,0
khác_nhau,0,2,8,9,0
vách,0,1,4,5,0
giống_như,0,2,8,11,0
trong_khi,0,2,8,8,0
xung,0,1,4,4,0
thọ,0,1,3,4,0
CD,0,1,2,2,0
ngựa,0,1,4,6,0
mộc,0,1,3,5,0
cáo,0,1,3,4,0
điện_áp,0,2,6,9,0
ướt,0,1,3,6,0
tế_bào,0,2,5,8,0
UBND,0,1,4,4,0
logic,0,1,5,5,0
đạt_được,0,2,7,11,0
chưởng,0,1,6,9,0
thục,0,1,4,5,0
nai,0,1,3,3,0
thuyết,0,1,6,8,0
có_khi,0,2,5,6,0
NXB,0,1,3,3,0
thì_có,0,2,5,7,0
im,0,1,2,2,0
con_trai,0,2,7,7,0
cho_đến,0,2,6,8,0
huyền,0,1,5,7,0
mươi,0,1,4,6,0
Al,0,1,2,2,0
vượt_quá,0,2,7,11,0
tịch,0,1,4,5,0
hàng_trăm,0,2,8,10,0
toà_nhà,0,2,6,8,0
đó_đây,0,2,5,7,0
trong_vòng,0,2,9,10,0
dịch_cúm,0,2,7,9,0
vữa,0,1,3,5,0
qui_hoạch,0,2,8,9,0
gõ,0,1,2,3,0
As,0,1,2,2,0
thiết,0,1,5,7,0
ấm,0,1,2,4,0
vượt_qua,0,2,7,10,0
sài,0,1,3,4,0
máy_thu,0,2,6,7,0
điều_chế,0,2,7,11,0
phái,0,1,4,5,0
hán,0,1,3,4,0
gì_mà,0,2,4,6,0
RAM,0,1,3,3,0
tảng,0,1,4,5,0
Nxb,0,1,3,3,0
mới_đầu,0,2,6,10,0
buổi_sáng,0,2,8,11,0
gối,0,1,3,5,0
diễn_ra,0,2,6,8,0
cốt_thép,0,2,7,10,0
thống,0,1,5,7,0
HĐND,0,1,4,4,0
telex,0,1,5,5,0
khẽ,0,1,3,4,0
lưu_trữ,0,2,6,9,0
như_không,0,2,8,10,0
chịu_tải,0,2,7,9,0
Ô,0,1,1,2,0
não,0,1,3,4,0
người_làm,0,2,8,12,0
tường,0,1,5,8,0
từ_đó,0,2,4,7,0
áp_giải,0,2,6,8,0
da_cam,0,2,5,5,0
truyện_ngắn,0,2,10,14,0
thúc,0,1,4,5,0
ư,0,1,1,2,0
chén,0,1,4,5,0
đặng,0,1,4,6,0
giếng,0,1,5,7,0
nhồi,0,1,4,6,0
chăng,0,1,5,6,0
vâng,0,1,4,5,0
vi_mạch,0,2,6,7,0
giận,0,1,4,6,0
kháng,0,1,5,6,0
trách,0,1,5,6,0
đặt_ra,0,2,5,7,0
nhà_thơ,0,2,6,8,0
diễn_kịch,0,2,8,11,0
He,0,1,2,2,0
biên_độ,0,2,6,9,0
chán,0,1,4,5,0
thuần,0,1,5,7,0
nầy,0,1,3,5,0
tướng,0,1,5,8,0
bổ,0,1,2,4,0
làm_gì,0,2,5,7,0
hồn,0,1,3,5,0
he,0,1,2,2,0
chiều_dài,0,2,8,11,0
Xe,0,1,2,2,0
đặc_tính,0,2,7,10,0
qui,0,1,3,3,0
nhĩ,0,1,3,4,0
chân_đế,0,2,6,9,0
cai,0,1,3,3,0
bài_thơ,0,2,6,8,0
thầm,0,1,4,6,0
sứ,0,1,2,4,0
phụng,0,1,5,6,0
lân,0,1,3,4,0
phím,0,1,4,5,0
mi,0,1,2,2,0
hôm_sau,0,2,6,7,0
hạn_ngạch,0,2,8,10,0
thỉnh_thoảng,0,2,11,13,0
phẳng,0,1,5,7,0
khuyết_tật,0,2,9,13,0
nấm,0,1,3,5,0
sĩ,0,1,2,3,0
cho_là,0,2,5,6,0
chúa,1,1,4,5,0
hả,1,1,2,3,0
biệt,1,1,4,6,0
vũ_trụ,1,2,5,7,0
trái_đất,1,2,7,10,0
mác,1,1,3,4,0
trình_duyệt,1,2,10,13,0
thuê_bao,1,2,7,8,0
tương,1,1,5,7,0
kỷ,1,1,2,3,0
tín,1,1,3,4,0
bản_vẽ,1,2,5,7,0
sắc,1,1,3,5,0
bền,1,1,3,5,0
tần,1,1,3,5,0
cảm,1,1,3,4,0
nhạt,1,1,4,5,0
bá,1,1,2,3,0
lứa,1,1,3,5,0
ông_già,1,2,6,8,0
tán,1,1,3,4,0
thánh,1,1,5,6,0
ấn,1,1,2,4,0
lời_nói,1,2,6,9,0
ân,1,1,2,3,0
vitamin,1,1,7,7,0
bùn,1,1,3,4,0
nhà_cửa,1,2,6,9,0
dòng_điện,1,2,8,11,0
trái_phiếu,1,2,9,12,0
tơ,1,1,2,3,0
mạc,1,1,3,4,0
thước,1,1,5,8,0
vấn,1,1,3,5,0
phán,1,1,4,5,0
vậy_mà,1,2,5,8,0
rắn,1,1,3,5,0
giao_tiếp,1,2,8,10,0
sung_sướng,1,2,9,12,0
đống,1,1,4,6,0
trại_giam,1,2,8,9,0
tích,1,1,4,5,0
dan,1,1,3,3,0
nhiệm,1,1,5,7,0
điệu,1,1,4,6,0
hệ_số,1,2,4,8,0
thổ,1,1,3,5,0
có_điều,1,2,6,9,0
chấp,1,1,4,6,0
ngày_trước,1,2,9,13,0
đan,1,1,3,3,0
dang,1,1,4,4,0
thứ_ba,1,2,5,7,0
tiểu_thuyết,1,2,10,14,0
liệt,1,1,4,6,0
buồng,1,1,5,7,0
củi,1,1,3,4,0
non,1,1,3,3,0
vô,1,1,2,3,0
tật,1,1,3,5,0
cõi,1,1,3,4,0
ơn,1,1,2,3,0
nguyên_lý,1,2,8,10,0
bê,1,1,2,3,0
ầm,1,1,2,4,0
tất,1,1,3,5,0
gọi_là,1,2,5,7,0
nạp,1,1,3,4,0
mỡ,1,1,2,4,0
co,1,1,2,2,0
có_giá,1,2,5,7,0
đàn_bà,1,2,5,7,0
dinh_dưỡng,1,2,9,12,0
lầu,1,1,3,5,0
nương,1,1,5,7,0
đại_sư,1,2,5,7,0
tục,1,1,3,4,0
hoạt,1,1,4,5,0
lưỡi,1,1,4,7,0
tưởng_tượng,1,2,10,16,0
bát,1,1,3,4,0
viêm,1,1,4,5,0
luyện,1,1,5,7,0
mộ,1,1,2,4,0
hàm,1,1,3,4,0
sơ_đồ,1,2,4,7,0
lang,1,1,4,4,0
huynh,1,1,5,5,0
phùng,1,1,5,6,0
ho,1,1,2,2,0
thấm,1,1,4,6,0
khe,1,1,3,3,0
lặng,1,1,4,6,0
gật,1,1,3,5,0
à,1,1,1,2,0
hoạ,1,1,3,4,0
mép,1,1,3,4,0
phước,1,1,5,8,0
thoáng,1,1,6,7,0
bạch,1,1,4,5,0
kịch,1,1,4,5,0
lắc_đầu,1,2,6,10,0
thế_thì,1,2,6,9,0
dầm,1,1,3,5,0
bây,1,1,3,4,0
ram,1,1,3,3,0
nứt,1,1,3,5,0
miếng,2,1,5,7,0
giường,2,1,6,9,0
ẩn,2,1,2,4,0
đẻ,2,1,2,3,0
rạp,2,1,3,4,0
nhiệt,2,1,5,7,0
thuỵ,2,1,4,5,0
đồi,2,1,3,5,0
cải,2,1,3,4,0
kỵ,2,1,2,3,0
phù,2,1,3,4,0
khê,2,1,3,4,0
nghị,2,1,4,5,0
khuất,2,1,5,7,0
kế,2,1,2,4,0
lở,2,1,2,4,0
đắp,2,1,3,5,0
lắp_ráp,2,2,6,9,0
hiển_thị,2,2,7,10,0
liên_doanh,2,2,9,10,0
đường_kính,2,2,9,13,0
cỗ,2,1,2,4,0
mạch,2,1,4,5,0
địch,2,1,4,5,0
mọc,2,1,3,4,0
thợ,2,1,3,5,0
đế,2,1,2,4,0
buông,2,1,5,6,0
thoại,2,1,5,6,0
mật,2,1,3,5,0
mũ,2,1,2,3,0
virus,2,1,5,5,0
phòng_thí_nghiệm,2,3,14,18,0
tập_huấn,2,2,7,11,0
thất,2,1,4,6,0
quỳnh,2,1,5,6,0
con_cháu,2,2,7,8,0
đệ_tử,2,2,4,8,0
tế,2,1,2,4,0
phóng_sự,2,2,7,10,0
tân,2,1,3,4,0
đếm,2,1,3,5,0
khắc,2,1,4,6,0
móc,2,1,3,4,0
hoài,2,1,4,5,0
chỉnh,2,1,5,6,0
lỗ,2,1,2,4,0
thượng,2,1,6,9,0
tựa,2,1,3,5,0
hong,2,1,4,4,0
đinh,2,1,4,4,0
mỏng,2,1,4,5,0
vọng,2,1,4,5,0
võ,2,1,2,3,0
chu_kỳ,2,2,5,6,0
xô,2,1,2,3,0
hưu,2,1,3,4,0
chớp,2,1,4,6,0
ao,2,1,2,2,0
rối_loạn,2,2,7,10,0
bảo_hiểm,2,2,7,10,0
ngó,2,1,3,4,0
đến_nỗi,2,2,6,10,0
chả,2,1,3,4,0
hang,2,1,4,4,0
lông,2,1,4,5,0
oanh,2,1,4,4,0
chu,2,1,3,3,0
phổ,2,1,3,5,0
xưa,2,1,3,4,0
ước_mơ,2,2,5,9,0
thế_mà,2,2,5,8,0
mổ,2,1,2,4,0
lam,2,1,3,3,0
muội,2,1,4,6,0
giáo,2,1,4,5,0
kiểm,2,1,4,6,0
gởi,2,1,3,5,0
vợt,2,1,3,5,0
âm_thanh,2,2,7,8,0
vệ_tinh,2,2,6,8,0
sư_phạm,2,2,6,8,0
răng,2,1,4,5,0
huỳnh,2,1,5,6,0
văn_nghệ,2,2,7,10,0
tâm_hồn,2,2,6,9,0
thuỳ,2,1,4,5,0
bèn,2,1,3,4,0
cấu_trúc,2,2,7,10,0
tao,2,1,3,3,0
ngươi,2,1,5,7,0
lắc,2,1,3,5,0
canh,3,1,4,4,0
hoạ_sĩ,3,2,5,7,0
tiết,3,1,4,6,0
anh_hùng,3,2,7,8,0
truyện,3,1,6,8,0
bày,3,1,3,4,0
du_học,3,2,5,6,0
tuỳ,3,1,3,4,0
thằng,3,1,5,7,0
mê,3,1,2,3,0
mục,3,1,3,4,0
khối_lượng,3,2,9,14,0
ống,3,1,3,5,0
cấu_tạo,3,2,6,9,0
năng,3,1,4,5,0
dạ,3,1,2,3,0
triển,3,1,5,7,0
mặt_trời,3,2,7,11,0
khoan,3,1,5,5,0
trị,3,1,3,4,0
bão,3,1,3,4,0
nhé,3,1,3,4,0
đành,3,1,4,5,0
ca_nhạc,3,2,6,7,0
vải,3,1,3,4,0
diệt,3,1,4,6,0
lục,3,1,3,4,0
tĩnh,3,1,4,5,0
béo,3,1,3,4,0
thạnh,3,1,5,6,0
nghĩa_là,3,2,7,9,0
quyên,3,1,5,6,0
sương,3,1,5,7,0
lặng_lẽ,3,2,6,9,0
cửa_sổ,3,2,5,9,0
dâu,3,1,3,4,0
chen,3,1,4,4,0
trực,3,1,4,6,0
thực_ra,3,2,6,8,0
giải_mã,3,2,6,8,0
khổ,3,1,3,5,0
trăng,3,1,5,6,0
luồng,3,1,5,7,0
ngô,3,1,3,4,0
chị_em,3,2,5,6,0
gác,3,1,3,4,0
thế_là,3,2,5,8,0
lát,3,1,3,4,0
thiệt,3,1,5,7,0
chuyền,3,1,6,8,0
dự_thảo,3,2,6,9,0
gian,3,1,4,4,0
âu,3,1,2,3,0
hươu,3,1,4,6,0
chuyển_động,3,2,10,14,0
thổi,3,1,4,6,0
real,3,1,4,4,0
quy,3,1,3,3,0
căng,3,1,4,5,0
ngọt,3,1,4,5,0
cốc,3,1,3,5,0
kích_thích,3,2,9,11,0
nhu,3,1,3,3,0
dưỡng,3,1,5,8,0
bích,3,1,4,5,0
gánh,3,1,4,5,0
cho_nên,3,2,6,7,0
vạch,3,1,4,5,0
nội_lực,3,2,6,10,0
dung,3,1,4,4,0
nhơn,3,1,4,5,0
hư,3,1,2,3,0
tiên,3,1,4,5,0
nghiệm,3,1,6,8,0
dọn,3,1,3,4,0
dao_động,3,2,7,9,0
tin_học,3,2,6,7,0
đặc,3,1,3,5,0
biểu,3,1,4,6,0
tha,3,1,3,3,0
thần_kinh,3,2,8,10,0
ngắt,3,1,4,6,0
tinh,4,1,4,4,0
đệ,4,1,2,4,0
vẽ,4,1,2,3,0
lão,4,1,3,4,0
ghé,4,1,3,4,0
bàn_tay,4,2,6,7,0
nhiễu,4,1,5,7,0
bề,4,1,2,4,0
cong,4,1,4,4,0
truyền,4,1,6,8,0
thuật,4,1,5,7,0
nấu,4,1,3,5,0
căn_bệnh,4,2,7,10,0
dứt,4,1,3,5,0
phải_biết,4,2,8,11,0
hổ,4,1,2,4,0
dòng_chảy,4,2,8,10,0
mờ,4,1,2,4,0
thông_số,4,2,7,10,0
chạm,4,1,4,5,0
cốt,4,1,3,5,0
thí_nghiệm,4,2,9,12,0
phục,4,1,4,5,0
biên,4,1,4,5,0
mau,4,1,3,3,0
cà,4,1,2,3,0
tra,4,1,3,3,0
hành,4,1,4,5,0
đĩa,4,1,3,4,0
chứng_tỏ,4,2,7,10,0
trạng_thái,4,2,9,11,0
khuôn_mặt,4,2,8,11,0
dải,4,1,3,4,0
tần_số,4,2,5,9,0
quái,4,1,4,5,0
khớp,4,1,4,6,0
buôn_lậu,4,2,7,10,0
muộn,4,1,4,6,0
quan_niệm,4,2,8,10,0
lầm,4,1,3,5,0
ngoan,4,1,5,5,0
tốn,4,1,3,5,0
lặp,4,1,3,5,0
lọc,4,1,3,4,0
miễn,4,1,4,6,0
nghệ,4,1,4,6,0
để_ý,4,2,3,6,0
luận,4,1,4,6,0
đỡ,4,1,2,4,0
đất_đai,4,2,6,8,0
tuyệt,4,1,5,7,0
á,4,1,1,2,0
ngôn_ngữ,4,2,7,10,0
đích,4,1,4,5,0
giơ,4,1,3,4,0
trương,4,1,6,8,0
mỉm,4,1,3,4,0
bại,4,1,3,4,0
hẹp,4,1,3,4,0
nghiệp,4,1,6,8,0
mày,4,1,3,4,0
sốt,4,1,3,5,0
nha,4,1,3,3,0
bai,4,1,3,3,0
oan,4,1,3,3,0
xem_lại,4,2,6,7,0
lý_thuyết,4,2,8,11,0
đốc,4,1,3,5,0
bút,4,1,3,4,0
vạn,4,1,3,4,0
la,4,1,2,2,0
di_sản,4,2,5,6,0
điển,4,1,4,6,0
diệu,4,1,4,6,0
giảng,4,1,5,6,0
ạ,4,1,1,2,0
khoẻ,5,1,4,5,0
chẳng_hạn,5,2,8,11,0
ngày_một,5,2,7,10,0
giọt,5,1,4,5,0
tràn,5,1,4,5,0
giờ_đây,5,2,6,9,0
chương,5,1,6,8,0
dán,5,1,3,4,0
kiến,5,1,4,6,0
sử,5,1,2,4,0
bởi_vì,5,2,5,8,0
vú,5,1,2,3,0
bơi,5,1,3,4,0
tin_cậy,5,2,6,8,0
hệ,5,1,2,4,0
nghiệm_thu,5,2,9,11,0
vân,5,1,3,4,0
bề_mặt,5,2,5,9,0
quét,5,1,4,5,0
sắp_xếp,5,2,6,10,0
tả,5,1,2,3,0
ước,5,1,3,6,0
bận,5,1,3,5,0
đấy,5,1,3,5,0
tiêm,5,1,4,5,0
ngày_nay,5,2,7,8,0
nén,5,1,3,4,0
kiến_thức,5,2,8,12,0
đòn,5,1,3,4,0
tiếp_thị,5,2,7,10,0
tuyết,5,1,5,7,0
chí,5,1,3,4,0
hoang,5,1,5,5,0
chín,5,1,4,5,0
cúc,5,1,3,4,0
đói,5,1,3,4,0
men,5,1,3,3,0
chai,5,1,4,4,0
tình_nguyện,5,2,10,13,0
ty,5,1,2,2,0
mệt,5,1,3,5,0
tím,5,1,3,4,0
sơ,5,1,2,3,0
ngại,5,1,4,5,0
phần_tử,5,2,6,10,0
nhuận,5,1,5,7,0
tương_đối,5,2,8,12,0
trúc,5,1,4,5,0
mỏ,5,1,2,3,0
cánh_tay,5,2,7,8,0
chào,5,1,4,5,0
cạn,5,1,3,4,0
xương,5,1,5,7,0
trưởng_phòng,5,2,11,15,0
cải_tiến,5,2,7,10,0
trứng,5,1,5,7,0
di,5,1,2,2,0
phê,5,1,3,4,0
bà_con,5,2,5,6,0
suối,5,1,4,6,0
hy_sinh,5,2,6,6,0
lắm,5,1,3,5,0
thở,5,1,3,5,0
hào,5,1,3,4,0
lành,5,1,4,5,0
phổi,5,1,4,6,0
ngữ,5,1,3,5,0
mông,5,1,4,5,0
bình_định,5,2,8,10,0
gò,5,1,2,3,0
thạch,5,1,5,6,0
cửa_sông,5,2,7,10,0
tre,6,1,3,3,0
niên,6,1,4,5,0
trại,6,1,4,5,0
ly,6,1,2,2,0
dư,6,1,2,3,0
dày,6,1,3,4,0
cẩu,6,1,3,5,0
tiểu,6,1,4,6,0
chiêu,6,1,5,6,0
bấm,6,1,3,5,0
chẩn_đoán,6,2,8,11,0
đừng,6,1,4,6,0
vua,6,1,3,3,0
đai,6,1,3,3,0
nhịp,6,1,4,5,0
nhà_thầu,6,2,7,10,0
những_ai,6,2,7,9,0
so_sánh,6,2,6,7,0
thoả_mãn,6,2,7,9,0
ra_đời,6,2,5,7,0
lò,6,1,2,3,0
ninh,6,1,4,4,0
dở,6,1,2,4,0
ánh,6,1,3,4,0
sen,6,1,3,3,0
dụng_cụ,6,2,6,8,0
số_phận,6,2,6,10,0
màu_sắc,6,2,6,9,0
tụi,6,1,3,4,0
chỉ_định,6,2,7,9,0
chúc,6,1,4,5,0
đùa,6,1,3,4,0
thức_ăn,6,2,6,9,0
nguy,6,1,4,4,0
nở,6,1,2,4,0
cân_bằng,6,2,7,10,0
trọng,6,1,5,6,0
chuông,6,1,6,7,0
đột_nhiên,6,2,8,11,0
góp_ý,6,2,4,6,0
toa,6,1,3,3,0
tất_nhiên,6,2,8,11,0
làm_nên,6,2,6,8,0
thưa,6,1,4,5,0
tan,6,1,3,3,0
nhà_hát,6,2,6,8,0
một_chút,6,2,7,10,0
xí_nghiệp,6,2,8,11,0
tải_trọng,6,2,8,10,0
người_bệnh,6,2,9,14,0
quyết,7,1,5,7,0
tử,7,1,2,4,0
dấu,7,1,3,5,0
lăn,7,1,3,4,0
quần,7,1,4,6,0
cảm_nhận,7,2,7,10,0
trượt,7,1,5,8,0
bưu_điện,7,2,7,10,0
chuyên_ngành,7,2,11,13,0
thích_hợp,7,2,8,11,0
nhiệt_độ,7,2,7,11,0
công_cụ,7,2,6,8,0
trôi,7,1,4,5,0
đôi_khi,7,2,6,7,0
trò_chơi,7,2,7,9,0
màn_hình,7,2,7,9,0
thao,7,1,4,4,0
giáp,7,1,4,5,0
lắp,7,1,3,5,0
lực,7,1,3,5,0
trước_hết,7,2,8,13,0
giang,7,1,5,5,0
dắt,7,1,3,5,0
lũ,7,1,2,3,0
dụng,7,1,4,5,0
thủng,7,1,5,6,0
tác_dụng,7,2,7,9,0
đệm,7,1,3,5,0
triệu_chứng,7,2,10,14,0
chất_độc,7,2,7,11,0
tâm_lý,7,2,5,7,0
vất_vả,7,2,5,8,0
chinh_phục,7,2,9,10,0
bạn_đọc,7,2,6,8,0
quảng_cáo,7,2,8,10,0
bớt,7,1,3,5,0
lệ,7,1,2,4,0
má,7,1,2,3,0
di_tích,7,2,6,7,0
chim,7,1,4,4,0
cải_tạo,8,2,6,8,0
va,8,1,2,2,0
ổn,8,1,2,4,0
ý_thức,8,2,5,8,0
sai_lầm,8,2,6,8,0
út,8,1,2,3,0
cm,8,1,2,2,0
khởi,8,1,4,6,0
đắt,8,1,3,5,0
cát,8,1,3,4,0
bộ_đội,8,2,5,9,0
xi_măng,8,2,6,7,0
mặt_khác,8,2,7,10,0
