Word,Frequency,Number of Syllables,Number of Characters,Number of Syllables and Diacritics,Complex
rú,1,1,2,3,0
một_sỹ,1,2,5,8,0
capo,1,1,4,4,0
một_mạch,1,2,7,10,0
đặc_xá,1,2,5,8,0
thói,1,1,4,5,0
dân_nghèo,1,2,8,10,0
tổn,1,1,3,5,0
trần_truồng,1,2,10,14,0
thù_ghét,1,2,7,9,0
quỷ_sứ,1,2,5,8,0
vận,1,1,4,5,0
bêu_riếu,1,2,7,10,0
lâm_thời,1,2,7,10,0
thuốc_ngủ,1,2,8,11,0
phán_xét,1,2,7,9,0
thậm_tệ,1,2,6,10,0
bối_rối,1,2,6,10,0
lùng,1,1,4,5,0
sục_sôi,1,2,6,8,0
săn_lùng,1,2,7,9,0
brazil,1,1,6,6,0
phơi_bày,1,2,7,9,0
khoe_khoang,1,2,10,10,0
tủi_nhục,1,2,7,9,0
favela,1,1,6,6,0
nữ_quyền,1,2,7,11,0
vị_thanh,1,2,7,8,0
trông_chờ,1,2,8,11,0
chúa_trời,1,2,8,11,0
bóng_tối,1,2,7,10,0
vô_nhân,1,2,6,8,0
xã_hội_học,1,3,8,12,0
e_sợ,1,2,3,5,0
mặc_cảm,1,2,6,9,0
truyền_đạo,1,2,9,12,0
sảnh,1,1,4,5,0
biện_hộ,1,2,6,10,0
thân_chủ,1,2,7,9,0
ả_rập,1,2,4,7,0
tuyển_quân,1,2,9,12,0
sư_phụ,1,2,5,7,0
sỡ,1,1,2,4,0
dĩ,1,1,2,3,0
tổ_ấm,1,2,4,8,0
lừa_dối,1,2,6,10,0
kìm,1,1,3,4,0
phụng_dưỡng,1,2,10,14,0
miệt,1,1,4,6,0
giet,1,1,4,4,0
dich,1,1,4,4,0
vả,1,1,2,3,0
vơ,1,1,2,3,0
nhỏ_dại,1,2,6,8,0
một_lòng,1,2,7,10,0
tra_khảo,1,2,7,8,0
hồ_chí_minh,1,3,9,12,0
đểsát,1,1,5,8,0
ngoài_luồng,1,2,10,13,0
tự_thú,1,2,5,8,0
nghệ,1,1,5,6,0
đào,1,1,4,4,0
vna,1,1,3,3,0
ana,1,1,3,3,0
viện_dẫn,1,2,7,11,0
thấy_kinh_tế,1,3,10,14,0
châu_âu_lufthansa,1,3,15,17,0
lien,1,1,4,4,0
xây_xát,1,2,6,8,0
nốp,1,1,3,5,0
loạng_choạng,1,2,11,13,0
hết_hơi,1,2,6,9,0
tan_tầm,1,2,6,8,0
ngọc_thạch,1,2,9,11,0
cảm_tử,1,2,5,8,0
phù_thuỷ,1,2,7,9,0
oanh_tạc,1,2,7,8,0
chiếu_phim,1,2,9,11,0
last,1,1,4,4,0
stand,1,1,5,5,0
kìm_hãm,1,2,6,8,0
nguyên_tác,1,2,9,11,0
famke,1,1,5,5,0
janssen,1,1,7,7,0
apocalypse,1,1,10,10,0
past,1,1,4,4,0
ẩn_ý,1,2,3,6,0
từ_hư,1,2,4,7,0
thần_giao_cách_cảm,1,4,15,19,0
ký_sinh,1,2,6,7,0
vật_chủ,1,2,6,9,0
đồng_loại,1,2,8,11,0
cài,1,1,3,4,0
soán,1,1,4,5,0
phơi_phới,1,2,8,11,0
tươi_rói,1,2,7,10,0
trại_tập_trung,1,3,12,15,0
xiêu,1,1,4,5,0
quốc_nội,1,2,7,11,0
vi_vu,1,2,4,4,0
vck,1,1,3,3,0
l,1,1,1,1,0
pole,1,1,4,4,0
